,Unknown,Children's,Religious,New Age,Stage & Screen,Blues,Avant-Garde,International,Easy Listening,Folk,Vocal,Latin,Classical,R&B;,Comedy/Spoken,Country,Jazz,Reggae,Electronic,Pop/Rock
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,27,0,0,3
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1927,0,0,0,0,0,0,0,0,0,0,23,0,1,2,0,0,3,0,0,0
1928,0,0,0,0,0,0,38,0,0,0,10,0,0,0,0,0,58,0,0,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1930,0,0,0,0,0,107,0,20,0,0,112,0,0,0,0,0,1,0,0,8
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
1932,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,41,0,0,0
1933,0,0,0,0,0,3,0,0,0,0,3645,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,25,0,0,0
1935,0,0,0,0,0,0,0,0,0,0,247,0,1,0,0,48,8,0,0,0
1936,0,0,0,0,1,13,2,0,0,0,366,0,0,3,0,55,82,34,0,0
1937,0,0,0,0,0,31,0,28,0,0,725,0,0,0,0,58,296,0,0,8
1938,0,0,0,0,0,0,0,0,0,0,156,0,1,0,0,165,170,0,0,0
1939,0,0,0,0,29,114,0,3,0,0,304,1,0,0,0,0,585,0,0,0
1940,0,0,0,0,0,0,0,6,0,0,139,0,0,0,0,0,90,160,0,0
1941,0,0,0,0,19,17,439,11,0,0,401,12,9,6,0,2,32,0,0,7
1942,0,0,5,0,0,0,0,24,0,0,176,0,29,15,0,0,196,24,0,248
1943,0,0,0,0,50,0,0,0,0,1,217,0,0,0,2,0,0,0,0,0
1944,0,0,0,0,0,5,0,19,8,0,723,1,7,0,0,0,56,0,0,0
1945,0,0,15,0,18,118,0,33,2,0,1325,0,28,0,0,5,297,0,0,3
1946,0,0,0,0,20,0,0,51,1,0,483,72,34,0,0,112,193,0,0,0
1947,0,0,0,0,120,344,0,1,110,0,28,0,9,7,2,176,3,0,0,5
1948,0,0,0,0,0,0,28,3,0,0,1128,668,36,0,0,0,29,0,0,0
1949,0,0,0,0,137,136,0,122,6,251,1039,422,191,2,0,80,296,0,38,0
1950,0,0,0,0,11,0,21,68,132,0,953,168,246,46,35,447,279,0,144,6
1951,0,0,62,0,0,11,0,89,0,13,949,163,44,33,0,802,1887,0,0,6
1952,0,0,0,0,9,10,0,102,314,245,1126,7,42,96,0,805,2018,35,0,0
1953,0,0,0,0,1,10,0,208,47,33,667,0,464,17,24,12,1559,0,0,0
1954,0,0,0,0,256,9,56,23,813,275,2966,21,447,188,13,705,4565,0,0,260
1955,0,0,0,0,0,25,104,91,75,300,4368,779,1407,0,0,470,5791,97,0,27
1956,0,0,153,0,389,415,442,370,622,378,8344,558,1381,756,125,1573,7304,0,0,1020
1957,0,0,0,0,135,1137,123,325,542,115,8819,824,3253,1575,19,1686,14583,17,0,2494
1958,0,0,288,0,0,921,11,213,1596,537,8761,1657,2548,1930,0,1519,6097,0,0,3890
1959,0,0,0,0,429,372,506,197,967,645,6838,1057,596,3093,665,2586,11212,96,0,4395
1960,0,82,22,0,594,1995,519,437,1049,1042,4663,1159,1138,3089,239,2510,6947,0,0,4748
1961,0,188,21,0,111,529,12,307,1065,492,4282,537,1699,3199,78,3005,9351,0,0,5016
1962,0,102,85,0,91,986,166,664,1849,1034,6702,876,837,4222,89,2278,9159,0,0,7146
1963,0,12,45,0,29,222,68,329,1227,1163,4026,1742,626,3602,210,4616,7905,72,57,12308
1964,0,0,0,33,399,416,65,1189,744,1761,5912,2600,1354,5790,210,3080,6110,353,0,12477
1965,0,0,0,0,761,733,79,373,1010,3512,4158,1990,82,5191,380,2823,3361,927,0,18278
1966,0,55,0,0,985,1972,77,292,404,1590,4127,1019,148,5130,52,2603,2831,382,0,26041
1967,0,20,0,0,935,1439,55,276,354,1769,4751,4885,302,5952,0,3070,2452,1262,0,33033
1968,0,0,64,0,61,2026,20,531,391,1190,2733,2174,183,8090,207,5332,3214,1020,84,29705
1969,0,0,0,0,93,1740,300,992,45,1898,2272,1427,110,6254,0,2663,2002,1329,0,39279
1970,0,0,0,0,274,416,0,551,98,1441,818,1787,160,7060,0,2862,1496,572,192,43192
1971,0,0,0,0,51,1906,0,528,64,1729,1346,1795,235,10162,31,3016,2163,234,0,40584
1972,0,195,135,32,0,623,29,793,25,1202,1072,3186,23,12106,21,3013,1349,93,92,35457
1973,0,0,0,131,139,658,0,312,39,603,665,2481,465,9482,24,3989,2468,3102,71,42312
1974,0,0,0,0,175,662,0,762,56,892,956,1791,295,7546,0,4176,2900,558,422,36641
1975,32,0,83,37,0,87,0,345,29,1302,632,2335,109,8724,286,6676,2445,1325,583,36561
1976,0,0,0,75,525,555,0,529,85,715,1127,1047,953,8764,25,4869,2648,4047,149,36450
1977,0,0,58,82,34,591,0,761,129,876,616,1531,229,6269,0,3321,2114,3053,536,43641
1978,0,0,133,28,0,479,125,571,96,211,1446,3845,93,6945,259,5312,1822,3220,367,38148
1979,0,118,84,23,769,259,29,783,209,328,923,1513,178,6840,276,3818,1237,1049,634,42603
1980,0,0,27,349,590,214,374,537,38,284,1167,3517,154,6657,44,4494,1335,1637,89,39631
1981,0,0,0,478,385,305,24,1065,0,127,1047,2222,1958,4954,0,5134,2532,606,546,38768
1982,0,0,278,504,227,483,174,1308,115,25,473,2379,353,7437,327,4304,1216,1668,0,39114
1983,0,0,196,51,727,118,0,991,0,132,777,2356,200,5532,352,2606,1017,1598,306,43792
1984,0,0,95,347,161,144,416,1181,21,21,944,6598,635,4987,197,2997,754,2503,0,39507
1985,0,0,244,70,415,106,0,674,0,132,431,3444,386,6184,233,5523,1330,384,161,39339
1986,0,0,182,359,793,535,602,1116,31,0,664,3866,45,6045,457,2958,2290,399,324,38535
1987,0,0,290,605,1465,169,0,1303,271,196,2173,3101,388,6365,0,6641,2297,227,327,41316
1988,0,0,361,655,362,50,0,345,82,95,1283,5542,583,3974,64,4262,1741,652,90,38927
1989,0,0,912,0,198,1089,0,1402,81,559,945,4203,304,4849,133,4521,1800,67,613,38134
1990,0,0,559,39,1006,359,0,1292,0,371,1041,6717,697,4804,111,5268,867,637,953,33854
1991,47,0,1055,1194,635,563,37,315,34,343,1017,6408,623,7915,0,5765,1894,1090,763,33292
1992,280,0,475,119,1217,278,0,614,61,160,1030,6737,285,6767,0,4746,1477,791,1280,33283
1993,0,0,683,448,315,425,0,987,65,67,1399,5845,157,7710,183,5631,923,1308,1381,30502
1994,55,33,238,614,549,580,0,573,0,266,514,5449,439,7431,96,5345,1211,452,1582,36648
1995,38,0,647,580,1182,92,110,492,0,34,741,6287,652,8063,0,6416,1173,793,1021,32295
1996,89,0,516,156,43,164,0,278,69,451,1385,4901,118,9096,74,5860,1096,870,2819,30900
1997,0,92,421,155,1015,589,237,313,43,168,952,4511,547,9568,448,4323,1423,655,2217,31676
1998,0,0,702,100,483,211,334,668,48,638,934,5767,256,7623,89,6479,840,335,3007,29350
1999,0,0,629,147,277,243,0,179,45,212,838,5835,256,8314,37,6617,1523,727,1553,35043
2000,0,225,963,740,940,522,138,374,0,231,418,2250,389,9528,0,5649,649,1482,1990,36090
2001,0,0,1030,303,1422,188,39,384,0,255,534,6940,196,9809,58,3471,856,1579,3000,35293
2002,0,0,813,94,896,144,39,191,43,89,558,4183,338,7051,41,6052,880,2595,1735,39208
2003,0,139,1588,52,2443,278,104,164,0,501,1683,4446,342,8593,201,4352,462,1007,1026,41449
2004,0,0,505,40,1269,172,0,143,47,232,828,4172,342,8147,113,8543,590,492,997,38893
2005,0,0,1689,499,710,283,45,533,44,321,843,5026,91,9779,39,5581,573,1740,1233,36982
2006,0,46,1485,48,1100,93,50,195,112,234,338,6506,432,7829,44,6864,744,1023,2347,40929
2007,0,0,518,268,618,132,0,254,0,274,703,3710,56,8895,40,6174,434,977,1735,40805
2008,0,0,1437,296,573,40,0,258,0,0,501,2355,0,9503,231,6285,544,776,1823,39356
2009,0,0,1296,218,447,185,113,1355,46,44,662,3679,0,6251,448,6494,576,617,1562,35492
2010,0,0,1239,48,388,0,0,110,0,0,231,4641,163,5931,0,8654,149,374,2591,33413
2011,0,99,1901,48,245,116,104,150,0,275,305,2530,0,7540,417,5933,301,685,4036,31754
2012,0,0,1114,0,369,0,112,59,102,49,61,3396,0,8114,0,4030,165,1089,2587,36782
2013,0,0,1626,57,1237,0,0,152,438,204,1486,1643,62,5751,57,6004,48,319,2815,35801
2014,0,0,854,0,424,159,0,0,107,57,111,2785,212,8249,0,7380,145,337,2538,28931
2015,0,0,745,60,0,52,0,0,0,0,420,2135,64,9581,0,3962,180,178,4138,27971
2016,0,0,630,67,0,0,60,60,0,0,58,1951,0,9726,59,3843,0,396,3078,22323
2017,0,0,925,0,0,0,0,56,0,0,0,2795,130,7255,0,3706,0,255,2702,21920
2018,0,0,432,0,0,0,0,0,0,0,0,2268,63,5641,0,4068,135,231,2763,17055
2019,0,0,257,0,0,0,0,0,0,0,231,4852,0,6722,0,4698,66,294,2681,20977
2020,0,0,409,0,0,0,0,0,0,0,0,2643,0,7784,0,2033,42,146,3475,14317
